,Tipo de recurso,Cantidad,Producto
352,3,52,8
353,4,11,8
354,5,77,8
355,6,60,8
356,7,37,8
357,8,11,8
358,9,22,8
359,10,14,8
360,11,78,8
361,12,55,8
362,13,56,8
363,14,87,8
364,15,82,8
365,16,78,8
366,17,89,8
367,18,94,8
368,19,47,8
369,20,10,8
370,21,73,8
371,22,68,8
372,23,45,8
373,24,81,8
374,25,72,8
375,26,86,8
376,27,37,8
377,28,89,8
378,29,26,8
379,30,71,8
380,31,51,8
381,32,8,8
382,33,78,8
383,34,2,8
384,35,3,8
385,36,56,8
386,37,71,8
387,38,9,8
388,39,98,8
389,40,70,8
390,41,66,8
391,42,83,8
392,43,51,8
393,44,38,8
394,45,1,8
395,46,7,8
396,47,91,8
397,48,0,8
398,49,33,8
399,50,11,8
400,1,18,9
401,2,49,9
402,3,52,9
403,4,19,9
404,5,7,9
405,6,38,9
406,7,99,9
407,8,62,9
408,9,49,9
409,10,70,9
410,11,22,9
411,12,93,9
412,13,96,9
413,14,73,9
414,15,86,9
415,16,69,9
416,17,84,9
417,18,93,9
418,19,78,9
419,20,61,9
420,21,66,9
421,22,14,9
422,23,50,9
423,24,45,9
424,25,4,9
425,26,40,9
426,27,53,9
427,28,68,9
428,29,20,9
429,30,25,9
430,31,66,9
431,32,87,9
432,33,91,9
433,34,2,9
434,35,58,9
435,36,52,9
436,37,97,9
437,38,7,9
438,39,18,9
439,40,89,9
440,41,70,9
441,42,59,9
442,43,27,9
443,44,38,9
444,45,3,9
445,46,79,9
446,47,93,9
447,48,99,9
448,49,21,9
449,50,1,9
450,1,32,10
451,2,45,10
452,3,92,10
453,4,81,10
454,5,28,10
455,6,0,10
456,7,14,10
457,8,78,10
458,9,27,10
459,10,70,10
460,11,7,10
461,12,70,10
462,13,96,10
463,14,91,10
464,15,75,10
465,16,97,10
466,17,39,10
467,18,94,10
468,19,3,10
469,20,77,10
470,21,38,10
471,22,32,10
472,23,74,10
473,24,90,10
474,25,7,10
475,26,49,10
476,27,18,10
477,28,68,10
478,29,33,10
479,30,5,10
480,31,67,10
481,32,69,10
482,33,81,10
483,34,24,10
484,35,87,10
485,36,97,10
486,37,28,10
487,38,0,10
488,39,5,10
489,40,75,10
490,41,97,10
491,42,1,10
492,43,33,10
493,44,22,10
494,45,10,10
495,46,66,10
496,47,6,10
497,48,23,10
498,49,26,10
499,50,65,10
500,1,1,11
501,2,64,11
502,3,38,11
503,4,18,11
504,5,81,11
505,6,35,11
506,7,12,11
507,8,95,11
508,9,71,11
509,10,39,11
510,11,40,11
511,12,35,11
512,13,81,11
513,14,25,11
514,15,45,11
515,16,9,11
516,17,26,11
517,18,82,11
518,19,19,11
519,20,1,11
520,21,24,11
521,22,24,11
522,23,65,11
523,24,73,11
524,25,94,11
525,26,83,11
526,27,83,11
527,28,1,11
528,29,64,11
529,30,68,11
530,31,46,11
531,32,38,11
532,33,69,11
533,34,38,11
534,35,43,11
535,36,35,11
536,37,4,11
537,38,27,11
538,39,21,11
539,40,22,11
540,41,79,11
541,42,87,11
542,43,42,11
543,44,93,11
544,45,91,11
545,46,3,11
546,47,11,11
547,48,99,11
548,49,41,11
549,50,65,11
550,1,87,12
551,2,3,12
552,3,99,12
553,4,70,12
554,5,1,12
555,6,23,12
556,7,53,12
557,8,81,12
558,9,25,12
559,10,13,12
560,11,58,12
561,12,75,12
562,13,26,12
563,14,46,12
564,15,18,12
565,16,76,12
566,17,36,12
567,18,80,12
568,19,55,12
569,20,36,12
570,21,98,12
571,22,34,12
572,23,55,12
573,24,56,12
574,25,88,12
575,26,60,12
576,27,51,12
577,28,93,12
578,29,61,12
579,30,87,12
580,31,78,12
581,32,74,12
582,33,14,12
583,34,40,12
584,35,72,12
585,36,69,12
586,37,8,12
587,38,40,12
588,39,65,12
589,40,81,12
590,41,16,12
591,42,48,12
592,43,11,12
593,44,87,12
594,45,52,12
595,46,99,12
596,47,42,12
597,48,33,12
598,49,2,12
599,50,25,12
600,1,60,13
601,2,16,13
602,3,26,13
603,4,61,13
604,5,62,13
605,6,73,13
606,7,89,13
607,8,37,13
608,9,97,13
609,10,13,13
610,11,23,13
611,12,79,13
612,13,96,13
613,14,97,13
614,15,35,13
615,16,19,13
616,17,53,13
617,18,20,13
618,19,54,13
619,20,99,13
620,21,51,13
621,22,20,13
622,23,21,13
623,24,75,13
624,25,22,13
625,26,89,13
626,27,90,13
627,28,1,13
628,29,98,13
629,30,73,13
630,31,50,13
631,32,23,13
632,33,46,13
633,34,14,13
634,35,21,13
635,36,54,13
636,37,68,13
637,38,39,13
638,39,19,13
639,40,94,13
640,41,22,13
641,42,0,13
642,43,32,13
643,44,79,13
644,45,20,13
645,46,36,13
646,47,85,13
647,48,84,13
648,49,69,13
649,50,48,13
650,1,33,14
651,2,98,14
652,3,60,14
653,4,40,14
654,5,10,14
655,6,0,14
656,7,78,14
657,8,54,14
658,9,50,14
659,10,45,14
660,11,30,14
661,12,78,14
662,13,75,14
663,14,42,14
664,15,19,14
665,16,9,14
666,17,4,14
667,18,17,14
668,19,44,14
669,20,49,14
670,21,61,14
671,22,65,14
672,23,12,14
673,24,66,14
674,25,64,14
675,26,16,14
676,27,49,14
677,28,68,14
678,29,37,14
679,30,5,14
680,31,44,14
681,32,42,14
682,33,63,14
683,34,39,14
684,35,53,14
685,36,34,14
686,37,32,14
687,38,71,14
688,39,40,14
689,40,62,14
690,41,20,14
691,42,80,14
692,43,99,14
693,44,30,14
694,45,44,14
695,46,80,14
696,47,87,14
697,48,15,14
698,49,94,14
699,50,7,14
700,1,30,15
701,2,30,15
702,3,34,15
703,4,72,15
704,5,92,15
705,6,26,15
706,7,17,15
707,8,45,15
708,9,12,15
709,10,68,15
710,11,88,15
711,12,28,15
712,13,21,15
713,14,58,15
714,15,40,15
715,16,42,15
716,17,19,15
717,18,98,15
718,19,19,15
719,20,43,15
720,21,31,15
721,22,21,15
722,23,92,15
723,24,85,15
724,25,22,15
725,26,25,15
726,27,6,15
727,28,63,15
728,29,35,15
729,30,86,15
730,31,7,15
731,32,98,15
732,33,70,15
733,34,47,15
734,35,20,15
735,36,96,15
736,37,68,15
737,38,9,15
738,39,14,15
739,40,35,15
740,41,17,15
741,42,11,15
742,43,20,15
743,44,23,15
744,45,62,15
745,46,27,15
746,47,54,15
747,48,6,15
748,49,59,15
749,50,85,15
750,1,5,16
751,2,12,16
752,3,90,16
753,4,86,16
754,5,58,16
755,6,19,16
756,7,16,16
757,8,15,16
758,9,75,16
759,10,28,16
760,11,24,16
761,12,42,16
762,13,26,16
763,14,88,16
764,15,25,16
765,16,98,16
766,17,90,16
767,18,39,16
768,19,62,16
769,20,13,16
770,21,77,16
771,22,79,16
772,23,50,16
773,24,3,16
774,25,51,16
775,26,59,16
776,27,67,16
777,28,55,16
778,29,70,16
779,30,42,16
780,31,58,16
781,32,85,16
782,33,48,16
783,34,2,16
784,35,22,16
785,36,72,16
786,37,94,16
787,38,80,16
788,39,93,16
789,40,94,16
790,41,4,16
791,42,49,16
792,43,9,16
793,44,79,16
794,45,97,16
795,46,95,16
796,47,50,16
797,48,62,16
798,49,48,16
799,50,98,16
800,1,86,17
801,2,87,17
802,3,63,17
803,4,23,17
804,5,90,17
805,6,99,17
806,7,22,17
807,8,23,17
808,9,53,17
809,10,89,17
810,11,98,17
811,12,12,17
812,13,74,17
813,14,67,17
814,15,83,17
815,16,8,17
816,17,42,17
817,18,20,17
818,19,76,17
819,20,21,17
820,21,46,17
821,22,61,17
822,23,5,17
823,24,68,17
824,25,19,17
825,26,16,17
826,27,74,17
827,28,80,17
828,29,94,17
829,30,20,17
830,31,79,17
831,32,95,17
832,33,61,17
833,34,77,17
834,35,4,17
835,36,11,17
836,37,94,17
837,38,97,17
838,39,99,17
839,40,65,17
840,41,70,17
841,42,66,17
842,43,71,17
843,44,72,17
844,45,86,17
845,46,9,17
846,47,37,17
847,48,29,17
848,49,57,17
849,50,13,17
850,1,76,18
851,2,59,18
852,3,45,18
853,4,84,18
854,5,47,18
855,6,56,18
856,7,53,18
857,8,12,18
858,9,98,18
859,10,61,18
860,11,37,18
861,12,53,18
862,13,71,18
863,14,11,18
864,15,57,18
865,16,84,18
866,17,10,18
867,18,59,18
868,19,53,18
869,20,60,18
870,21,13,18
871,22,94,18
872,23,92,18
873,24,63,18
874,25,60,18
875,26,95,18
876,27,3,18
877,28,54,18
878,29,2,18
879,30,89,18
880,31,56,18
881,32,54,18
882,33,48,18
883,34,44,18
884,35,31,18
885,36,28,18
886,37,73,18
887,38,28,18
888,39,49,18
889,40,73,18
890,41,56,18
891,42,48,18
892,43,35,18
893,44,30,18
894,45,20,18
895,46,34,18
896,47,26,18
897,48,58,18
898,49,88,18
899,50,37,18
900,1,76,19
901,2,2,19
902,3,14,19
903,4,68,19
904,5,60,19
905,6,75,19
906,7,40,19
907,8,60,19
908,9,70,19
909,10,98,19
910,11,29,19
911,12,51,19
912,13,76,19
913,14,14,19
914,15,40,19
915,16,89,19
916,17,96,19
917,18,16,19
918,19,34,19
919,20,52,19
920,21,21,19
921,22,53,19
922,23,21,19
923,24,54,19
924,25,72,19
925,26,85,19
926,27,95,19
927,28,98,19
928,29,5,19
929,30,95,19
930,31,3,19
931,32,46,19
932,33,54,19
933,34,80,19
934,35,47,19
935,36,38,19
936,37,99,19
937,38,88,19
938,39,95,19
939,40,92,19
940,41,7,19
941,42,51,19
942,43,55,19
943,44,14,19
944,45,26,19
945,46,87,19
946,47,45,19
947,48,97,19
948,49,47,19
949,50,85,19
950,1,38,20
951,2,21,20
952,3,77,20
953,4,5,20
954,5,94,20
955,6,93,20
956,7,83,20
957,8,49,20
958,9,18,20
959,10,78,20
960,11,9,20
961,12,98,20
962,13,39,20
963,14,44,20
964,15,80,20
965,16,8,20
966,17,37,20
967,18,47,20
968,19,61,20
969,20,19,20
970,21,8,20
971,22,69,20
972,23,78,20
973,24,98,20
974,25,57,20
975,26,96,20
976,27,20,20
977,28,21,20
978,29,45,20
979,30,9,20
980,31,34,20
981,32,37,20
982,33,57,20
983,34,41,20
984,35,80,20
985,36,69,20
986,37,41,20
987,38,53,20
988,39,80,20
989,40,8,20
990,41,0,20
991,42,50,20
992,43,32,20
993,44,20,20
994,45,96,20
995,46,5,20
996,47,34,20
997,48,35,20
998,49,27,20
999,50,70,20
1000,1,62,21
1001,2,63,21
1002,3,61,21
1003,4,77,21
1004,5,19,21
1005,6,8,21
1006,7,13,21
1007,8,28,21
1008,9,56,21
1009,10,27,21
1010,11,6,21
1011,12,0,21
1012,13,80,21
1013,14,76,21
1014,15,14,21
1015,16,2,21
1016,17,48,21
1017,18,23,21
1018,19,90,21
1019,20,18,21
1020,21,56,21
1021,22,32,21
1022,23,51,21
1023,24,43,21
1024,25,92,21
1025,26,80,21
1026,27,60,21
1027,28,3,21
1028,29,37,21
1029,30,7,21
1030,31,48,21
1031,32,18,21
1032,33,74,21
1033,34,43,21
1034,35,16,21
1035,36,10,21
1036,37,17,21
1037,38,63,21
1038,39,8,21
1039,40,73,21
1040,41,14,21
1041,42,58,21
1042,43,34,21
1043,44,0,21
1044,45,47,21
1045,46,27,21
1046,47,57,21
1047,48,45,21
1048,49,96,21
1049,50,67,21
1050,1,50,22
1051,2,78,22
1052,3,35,22
1053,4,65,22
1054,5,32,22
1055,6,63,22
1056,7,62,22
1057,8,26,22
1058,9,5,22
1059,10,56,22
1060,11,78,22
1061,12,62,22
1062,13,18,22
1063,14,3,22
1064,15,37,22
1065,16,51,22
1066,17,95,22
1067,18,32,22
1068,19,43,22
1069,20,0,22
1070,21,16,22
1071,22,54,22
1072,23,50,22
1073,24,16,22
1074,25,74,22
1075,26,91,22
1076,27,50,22
1077,28,11,22
1078,29,39,22
1079,30,4,22
1080,31,2,22
1081,32,19,22
1082,33,55,22
1083,34,13,22
1084,35,94,22
1085,36,94,22
1086,37,92,22
1087,38,42,22
1088,39,34,22
1089,40,22,22
1090,41,34,22
1091,42,18,22
1092,43,87,22
1093,44,56,22
1094,45,74,22
1095,46,7,22
1096,47,18,22
1097,48,0,22
1098,49,80,22
1099,50,99,22
1100,1,15,23
1101,2,93,23
1102,3,44,23
1103,4,81,23
1104,5,48,23
1105,6,87,23
1106,7,87,23
1107,8,47,23
1108,9,44,23
1109,10,27,23
1110,11,73,23
1111,12,6,23
1112,13,93,23
1113,14,60,23
1114,15,74,23
1115,16,40,23
1116,17,22,23
1117,18,42,23
1118,19,13,23
1119,20,2,23
1120,21,85,23
1121,22,74,23
1122,23,44,23
1123,24,21,23
1124,25,78,23
1125,26,49,23
1126,27,94,23
1127,28,63,23
1128,29,13,23
1129,30,58,23
1130,31,74,23
1131,32,66,23
1132,33,89,23
1133,34,15,23
1134,35,2,23
1135,36,71,23
1136,37,28,23
1137,38,46,23
1138,39,12,23
1139,40,60,23
1140,41,64,23
1141,42,83,23
1142,43,50,23
1143,44,60,23
1144,45,29,23
1145,46,3,23
1146,47,55,23
1147,48,23,23
1148,49,81,23
1149,50,34,23
1150,1,11,24
1151,2,39,24
1152,3,44,24
1153,4,73,24
1154,5,84,24
1155,6,11,24
1156,7,14,24
1157,8,91,24
1158,9,87,24
1159,10,4,24
1160,11,15,24
1161,12,76,24
1162,13,15,24
1163,14,27,24
1164,15,83,24
1165,16,6,24
1166,17,36,24
1167,18,98,24
1168,19,26,24
1169,20,9,24
1170,21,13,24
1171,22,7,24
1172,23,26,24
1173,24,93,24
1174,25,39,24
1175,26,69,24
1176,27,33,24
1177,28,15,24
1178,29,12,24
1179,30,21,24
1180,31,65,24
1181,32,28,24
1182,33,80,24
1183,34,12,24
1184,35,74,24
1185,36,39,24
1186,37,60,24
1187,38,53,24
1188,39,81,24
1189,40,45,24
1190,41,10,24
1191,42,95,24
1192,43,23,24
1193,44,5,24
1194,45,57,24
1195,46,42,24
1196,47,35,24
1197,48,72,24
1198,49,69,24
1199,50,37,24
1200,1,7,25
1201,2,11,25
1202,3,13,25
1203,4,68,25
1204,5,38,25
1205,6,91,25
1206,7,20,25
1207,8,78,25
1208,9,12,25
1209,10,15,25
1210,11,35,25
1211,12,37,25
1212,13,44,25
1213,14,29,25
1214,15,12,25
1215,16,74,25
1216,17,0,25
1217,18,12,25
1218,19,46,25
1219,20,25,25
1220,21,2,25
1221,22,5,25
1222,23,82,25
1223,24,10,25
1224,25,50,25
1225,26,52,25
1226,27,21,25
1227,28,96,25
1228,29,98,25
1229,30,17,25
1230,31,17,25
1231,32,35,25
1232,33,41,25
1233,34,48,25
1234,35,27,25
1235,36,97,25
1236,37,99,25
1237,38,27,25
1238,39,2,25
1239,40,15,25
1240,41,47,25
1241,42,48,25
1242,43,3,25
1243,44,79,25
1244,45,93,25
1245,46,31,25
1246,47,21,25
1247,48,98,25
1248,49,63,25
1249,50,61,25
1250,1,26,26
1251,2,7,26
1252,3,91,26
1253,4,40,26
1254,5,56,26
1255,6,15,26
1256,7,78,26
1257,8,1,26
1258,9,2,26
1259,10,50,26
1260,11,71,26
1261,12,45,26
1262,13,70,26
1263,14,11,26
1264,15,42,26
1265,16,87,26
1266,17,84,26
1267,18,61,26
1268,19,64,26
1269,20,13,26
1270,21,58,26
1271,22,45,26
1272,23,21,26
1273,24,54,26
1274,25,29,26
1275,26,96,26
1276,27,80,26
1277,28,77,26
1278,29,23,26
1279,30,67,26
1280,31,10,26
1281,32,31,26
1282,33,50,26
1283,34,86,26
1284,35,79,26
1285,36,98,26
1286,37,48,26
1287,38,24,26
1288,39,89,26
1289,40,48,26
1290,41,37,26
1291,42,80,26
1292,43,91,26
1293,44,19,26
1294,45,12,26
1295,46,65,26
1296,47,99,26
1297,48,65,26
1298,49,82,26
1299,50,68,26
1300,1,55,27
1301,2,32,27
1302,3,95,27
1303,4,80,27
1304,5,38,27
1305,6,56,27
1306,7,52,27
1307,8,58,27
1308,9,87,27
1309,10,8,27
1310,11,67,27
1311,12,12,27
1312,13,85,27
1313,14,68,27
1314,15,18,27
1315,16,2,27
1316,17,30,27
1317,18,86,27
1318,19,55,27
1319,20,0,27
1320,21,6,27
1321,22,60,27
1322,23,48,27
1323,24,78,27
1324,25,8,27
1325,26,1,27
1326,27,86,27
1327,28,96,27
1328,29,73,27
1329,30,72,27
1330,31,41,27
1331,32,80,27
1332,33,20,27
1333,34,24,27
1334,35,82,27
1335,36,41,27
1336,37,79,27
1337,38,23,27
1338,39,88,27
1339,40,37,27
1340,41,82,27
1341,42,94,27
1342,43,59,27
1343,44,5,27
1344,45,53,27
1345,46,97,27
1346,47,41,27
1347,48,35,27
1348,49,2,27
1349,50,58,27
1350,1,84,28
1351,2,25,28
1352,3,2,28
1353,4,15,28
1354,5,90,28
1355,6,8,28
1356,7,71,28
1357,8,66,28
1358,9,44,28
1359,10,71,28
1360,11,57,28
1361,12,88,28
1362,13,9,28
1363,14,5,28
1364,15,62,28
1365,16,81,28
1366,17,13,28
1367,18,30,28
1368,19,88,28
1369,20,87,28
1370,21,25,28
1371,22,62,28
1372,23,76,28
1373,24,51,28
1374,25,81,28
1375,26,80,28
1376,27,5,28
1377,28,30,28
1378,29,74,28
1379,30,43,28
1380,31,51,28
1381,32,66,28
1382,33,35,28
1383,34,30,28
1384,35,78,28
1385,36,50,28
1386,37,93,28
1387,38,30,28
1388,39,51,28
1389,40,83,28
1390,41,99,28
1391,42,48,28
1392,43,95,28
1393,44,33,28
1394,45,70,28
1395,46,94,28
1396,47,4,28
1397,48,28,28
1398,49,37,28
1399,50,95,28
1400,1,32,29
1401,2,90,29
1402,3,47,29
1403,4,7,29
1404,5,42,29
1405,6,98,29
1406,7,93,29
1407,8,59,29
1408,9,89,29
1409,10,26,29
1410,11,22,29
1411,12,9,29
1412,13,26,29
1413,14,73,29
1414,15,56,29
1415,16,91,29
1416,17,36,29
1417,18,3,29
1418,19,75,29
1419,20,44,29
1420,21,45,29
1421,22,33,29
1422,23,71,29
1423,24,25,29
1424,25,87,29
1425,26,85,29
1426,27,34,29
1427,28,92,29
1428,29,75,29
1429,30,1,29
1430,31,96,29
1431,32,58,29
1432,33,45,29
1433,34,2,29
1434,35,71,29
1435,36,42,29
1436,37,23,29
1437,38,87,29
1438,39,89,29
1439,40,4,29
1440,41,6,29
1441,42,73,29
1442,43,71,29
1443,44,38,29
1444,45,86,29
1445,46,45,29
1446,47,82,29
1447,48,60,29
1448,49,13,29
1449,50,53,29
1450,1,87,30
1451,2,88,30
1452,3,92,30
1453,4,89,30
1454,5,23,30
1455,6,2,30
1456,7,20,30
1457,8,42,30
1458,9,80,30
1459,10,20,30
1460,11,29,30
1461,12,0,30
1462,13,5,30
1463,14,0,30
1464,15,75,30
1465,16,40,30
1466,17,27,30
1467,18,45,30
1468,19,56,30
1469,20,99,30
1470,21,79,30
1471,22,76,30
1472,23,12,30
1473,24,37,30
1474,25,4,30
1475,26,85,30
1476,27,8,30
1477,28,96,30
1478,29,9,30
1479,30,60,30
1480,31,68,30
1481,32,67,30
1482,33,1,30
1483,34,86,30
1484,35,29,30
1485,36,77,30
1486,37,49,30
1487,38,97,30
1488,39,95,30
1489,40,31,30
1490,41,70,30
1491,42,75,30
1492,43,21,30
1493,44,9,30
1494,45,94,30
1495,46,26,30
1496,47,64,30
1497,48,48,30
1498,49,28,30
1499,50,5,30
1500,1,45,31
1501,2,10,31
1502,3,12,31
1503,4,7,31
1504,5,42,31
1505,6,18,31
1506,7,84,31
1507,8,1,31
1508,9,25,31
1509,10,88,31
1510,11,72,31
1511,12,40,31
1512,13,99,31
1513,14,23,31
1514,15,80,31
1515,16,97,31
1516,17,35,31
1517,18,81,31
1518,19,29,31
1519,20,63,31
1520,21,52,31
1521,22,3,31
1522,23,78,31
1523,24,50,31
1524,25,96,31
1525,26,81,31
1526,27,9,31
1527,28,46,31
1528,29,52,31
1529,30,85,31
1530,31,94,31
1531,32,43,31
1532,33,93,31
1533,34,46,31
1534,35,17,31
1535,36,91,31
1536,37,61,31
1537,38,22,31
1538,39,64,31
1539,40,73,31
1540,41,42,31
1541,42,66,31
1542,43,82,31
1543,44,42,31
1544,45,54,31
1545,46,29,31
1546,47,58,31
1547,48,10,31
1548,49,61,31
1549,50,50,31
1550,1,59,32
1551,2,34,32
1552,3,24,32
1553,4,18,32
1554,5,20,32
1555,6,3,32
1556,7,87,32
1557,8,51,32
1558,9,51,32
1559,10,67,32
1560,11,43,32
1561,12,1,32
1562,13,26,32
1563,14,74,32
1564,15,30,32
1565,16,39,32
1566,17,38,32
1567,18,53,32
1568,19,83,32
1569,20,83,32
1570,21,92,32
1571,22,50,32
1572,23,24,32
1573,24,42,32
1574,25,91,32
1575,26,37,32
1576,27,90,32
1577,28,47,32
1578,29,23,32
1579,30,42,32
1580,31,77,32
1581,32,43,32
1582,33,9,32
1583,34,15,32
1584,35,12,32
1585,36,20,32
1586,37,56,32
1587,38,52,32
1588,39,0,32
1589,40,98,32
1590,41,82,32
1591,42,59,32
1592,43,25,32
1593,44,24,32
1594,45,67,32
1595,46,27,32
1596,47,50,32
1597,48,44,32
1598,49,73,32
1599,50,32,32
1600,1,0,33
1601,2,90,33
1602,3,55,33
1603,4,91,33
1604,5,14,33
1605,6,55,33
1606,7,57,33
1607,8,53,33
1608,9,19,33
1609,10,48,33
1610,11,46,33
1611,12,52,33
1612,13,79,33
1613,14,5,33
1614,15,95,33
1615,16,16,33
1616,17,10,33
1617,18,59,33
1618,19,37,33
1619,20,25,33
1620,21,83,33
1621,22,51,33
1622,23,7,33
1623,24,32,33
1624,25,63,33
1625,26,47,33
1626,27,0,33
1627,28,67,33
1628,29,93,33
1629,30,59,33
1630,31,1,33
1631,32,52,33
1632,33,33,33
1633,34,22,33
1634,35,57,33
1635,36,3,33
1636,37,16,33
1637,38,50,33
1638,39,60,33
1639,40,16,33
1640,41,57,33
1641,42,34,33
1642,43,15,33
1643,44,16,33
1644,45,10,33
1645,46,40,33
1646,47,43,33
1647,48,8,33
1648,49,45,33
1649,50,96,33
1650,1,47,34
1651,2,75,34
1652,3,7,34
1653,4,56,34
1654,5,83,34
1655,6,69,34
1656,7,66,34
1657,8,78,34
1658,9,93,34
1659,10,91,34
1660,11,55,34
1661,12,57,34
